file,bytes,chunkSize,dropProb,fps,txSlots,ackSlots,totalSlots,retransmits,seconds,bytesPerSec,maxQrVersion,okSha
text-10k,10260,100,0,10,139,139,278,0,27.8,369.1,8,true
text-10k,10260,100,0,15,139,139,278,0,18.533,553.6,8,true
text-10k,10260,100,0,30,139,139,278,0,9.267,1107.2,8,true
text-10k,10260,100,0.01,10,139,139,278,0,27.8,369.1,8,true
text-10k,10260,100,0.01,15,139,139,278,0,18.533,553.6,8,true
text-10k,10260,100,0.01,30,139,139,278,0,9.267,1107.2,8,true
text-10k,10260,100,0.05,10,144,139,283,5,28.3,362.5,8,true
text-10k,10260,100,0.05,15,144,139,283,5,18.867,543.8,8,true
text-10k,10260,100,0.05,30,144,139,283,5,9.433,1087.6,8,true
text-10k,10260,250,0,10,57,57,114,0,11.4,900,12,true
text-10k,10260,250,0,15,57,57,114,0,7.6,1350,12,true
text-10k,10260,250,0,30,57,57,114,0,3.8,2700,12,true
text-10k,10260,250,0.01,10,57,57,114,0,11.4,900,12,true
text-10k,10260,250,0.01,15,57,57,114,0,7.6,1350,12,true
text-10k,10260,250,0.01,30,57,57,114,0,3.8,2700,12,true
text-10k,10260,250,0.05,10,58,57,115,1,11.5,892.2,12,true
text-10k,10260,250,0.05,15,58,57,115,1,7.667,1338.3,12,true
text-10k,10260,250,0.05,30,58,57,115,1,3.833,2676.5,12,true
text-10k,10260,500,0,10,30,30,60,0,6,1710,18,true
text-10k,10260,500,0,15,30,30,60,0,4,2565,18,true
text-10k,10260,500,0,30,30,30,60,0,2,5130,18,true
text-10k,10260,500,0.01,10,30,30,60,0,6,1710,18,true
text-10k,10260,500,0.01,15,30,30,60,0,4,2565,18,true
text-10k,10260,500,0.01,30,30,30,60,0,2,5130,18,true
text-10k,10260,500,0.05,10,31,30,61,1,6.1,1682,18,true
text-10k,10260,500,0.05,15,31,30,61,1,4.067,2523,18,true
text-10k,10260,500,0.05,30,31,30,61,1,2.033,5045.9,18,true
text-10k,10260,800,0,10,20,20,40,0,4,2565,23,true
text-10k,10260,800,0,15,20,20,40,0,2.667,3847.5,23,true
text-10k,10260,800,0,30,20,20,40,0,1.333,7695,23,true
text-10k,10260,800,0.01,10,20,20,40,0,4,2565,23,true
text-10k,10260,800,0.01,15,20,20,40,0,2.667,3847.5,23,true
text-10k,10260,800,0.01,30,20,20,40,0,1.333,7695,23,true
text-10k,10260,800,0.05,10,21,20,41,1,4.1,2502.4,23,true
text-10k,10260,800,0.05,15,21,20,41,1,2.733,3753.7,23,true
text-10k,10260,800,0.05,30,21,20,41,1,1.367,7507.3,23,true
binary-10k,10240,100,0,10,139,139,278,0,27.8,368.3,8,true
binary-10k,10240,100,0,15,139,139,278,0,18.533,552.5,8,true
binary-10k,10240,100,0,30,139,139,278,0,9.267,1105,8,true
binary-10k,10240,100,0.01,10,139,139,278,0,27.8,368.3,8,true
binary-10k,10240,100,0.01,15,139,139,278,0,18.533,552.5,8,true
binary-10k,10240,100,0.01,30,139,139,278,0,9.267,1105,8,true
binary-10k,10240,100,0.05,10,144,139,283,5,28.3,361.8,8,true
binary-10k,10240,100,0.05,15,144,139,283,5,18.867,542.8,8,true
binary-10k,10240,100,0.05,30,144,139,283,5,9.433,1085.5,8,true
binary-10k,10240,250,0,10,57,57,114,0,11.4,898.2,12,true
binary-10k,10240,250,0,15,57,57,114,0,7.6,1347.4,12,true
binary-10k,10240,250,0,30,57,57,114,0,3.8,2694.7,12,true
binary-10k,10240,250,0.01,10,57,57,114,0,11.4,898.2,12,true
binary-10k,10240,250,0.01,15,57,57,114,0,7.6,1347.4,12,true
binary-10k,10240,250,0.01,30,57,57,114,0,3.8,2694.7,12,true
binary-10k,10240,250,0.05,10,58,57,115,1,11.5,890.4,12,true
binary-10k,10240,250,0.05,15,58,57,115,1,7.667,1335.7,12,true
binary-10k,10240,250,0.05,30,58,57,115,1,3.833,2671.3,12,true
binary-10k,10240,500,0,10,30,30,60,0,6,1706.7,18,true
binary-10k,10240,500,0,15,30,30,60,0,4,2560,18,true
binary-10k,10240,500,0,30,30,30,60,0,2,5120,18,true
binary-10k,10240,500,0.01,10,30,30,60,0,6,1706.7,18,true
binary-10k,10240,500,0.01,15,30,30,60,0,4,2560,18,true
binary-10k,10240,500,0.01,30,30,30,60,0,2,5120,18,true
binary-10k,10240,500,0.05,10,31,30,61,1,6.1,1678.7,18,true
binary-10k,10240,500,0.05,15,31,30,61,1,4.067,2518,18,true
binary-10k,10240,500,0.05,30,31,30,61,1,2.033,5036.1,18,true
binary-10k,10240,800,0,10,20,20,40,0,4,2560,23,true
binary-10k,10240,800,0,15,20,20,40,0,2.667,3840,23,true
binary-10k,10240,800,0,30,20,20,40,0,1.333,7680,23,true
binary-10k,10240,800,0.01,10,20,20,40,0,4,2560,23,true
binary-10k,10240,800,0.01,15,20,20,40,0,2.667,3840,23,true
binary-10k,10240,800,0.01,30,20,20,40,0,1.333,7680,23,true
binary-10k,10240,800,0.05,10,21,20,41,1,4.1,2497.6,23,true
binary-10k,10240,800,0.05,15,21,20,41,1,2.733,3746.3,23,true
binary-10k,10240,800,0.05,30,21,20,41,1,1.367,7492.7,23,true
